Transcript stable ID version	Gene stable ID	Gene stable ID version
ENSMUST00000164998.7	ENSMUSG00000000420	ENSMUSG00000000420.15
ENSMUST00000178605.1	ENSMUSG00000000420	ENSMUSG00000000420.15
ENSMUST00000205002.2	ENSMUSG00000000399	ENSMUSG00000000399.10
ENSMUST00000088194.6	ENSMUSG00000000399	ENSMUSG00000000399.10
ENSMUST00000043314.9	ENSMUSG00000040703	ENSMUSG00000040703.11
ENSMUST00000108395.7	ENSMUSG00000040703	ENSMUSG00000040703.11
ENSMUST00000156714.1	ENSMUSG00000040703	ENSMUSG00000040703.11
ENSMUST00000119354.7	ENSMUSG00000028789	ENSMUSG00000028789.16
ENSMUST00000106068.7	ENSMUSG00000028789	ENSMUSG00000028789.16
ENSMUST00000030581.9	ENSMUSG00000028789	ENSMUSG00000028789.16
ENSMUST00000147731.1	ENSMUSG00000028789	ENSMUSG00000028789.16
ENSMUST00000022353.4	ENSMUSG00000021815	ENSMUSG00000021815.4
ENSMUST00000067836.8	ENSMUSG00000054662	ENSMUSG00000054662.8
ENSMUST00000214773.1	ENSMUSG00000062272	ENSMUSG00000062272.4
ENSMUST00000213315.1	ENSMUSG00000062272	ENSMUSG00000062272.4
ENSMUST00000081034.1	ENSMUSG00000062272	ENSMUSG00000062272.4
ENSMUST00000073410.11	ENSMUSG00000090744	ENSMUSG00000090744.7
ENSMUST00000110214.8	ENSMUSG00000090744	ENSMUSG00000090744.7
ENSMUST00000164677.1	ENSMUSG00000090744	ENSMUSG00000090744.7
ENSMUST00000171059.1	ENSMUSG00000090744	ENSMUSG00000090744.7
ENSMUST00000067060.9	ENSMUSG00000054191	ENSMUSG00000054191.9
ENSMUST00000239392.1	ENSMUSG00000054191	ENSMUSG00000054191.9
ENSMUST00000044878.3	ENSMUSG00000036500	ENSMUSG00000036500.4
ENSMUST00000052708.6	ENSMUSG00000048327	ENSMUSG00000048327.6
ENSMUST00000105230.3	ENSMUSG00000078427	ENSMUSG00000078427.3
ENSMUST00000219512.1	ENSMUSG00000078427	ENSMUSG00000078427.3
ENSMUST00000216275.1	ENSMUSG00000111869	ENSMUSG00000111869.1
